season,season_type,game_id,game_date,venue,venue_location,away_team_abbr,home_team_abbr,event_num,period,period_type,seconds_elapsed,situation_code,strength_state,strength_state_venue,home_team_defending_side,event_type_code,event_type,description,penalty_duration,event_team_abbr,event_team_venue,num_on,players_on,ids_on,num_off,players_off,ids_off,shift_type,event_player_1_name,event_player_2_name,event_player_3_name,event_player_1_id,event_player_2_id,event_player_3_id,event_player_1_pos,event_player_2_pos,event_player_3_pos,event_goalie_id,shot_type,zone_code,x,y,x_fixed,y_fixed,x_adj,y_adj,event_skaters,away_skaters,home_skaters,event_distance,event_angle,event_length,seconds_since_last,away_score,home_score,away_fenwick,home_fenwick,away_on_1,away_on_2,away_on_3,away_on_4,away_on_5,away_on_6,away_goalie,home_on_1,home_on_2,home_on_3,home_on_4,home_on_5,home_on_6,home_goalie,away_on_1_id,away_on_2_id,away_on_3_id,away_on_4_id,away_on_5_id,away_on_6_id,away_goalie_id,home_on_1_id,home_on_2_id,home_on_3_id,home_on_4_id,home_on_5_id,home_on_6_id,home_goalie_id,event_coach,away_coach,home_coach,xG
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,1,1,,0,,5v0,5v0,,499.0,change,MIN CHANGE: line-change,,MIN,away,6.0,"JONAS BRODIN, JOEL ERIKSSON EK, KIRILL KAPRIZOV, FILIP GUSTAVSSON, MATT BOLDY, BROCK FABER","8476463, 8478493, 8478864, 8479406, 8481557, 8482122",,,,line-change,,,,,,,,,,,,,,,,,,,,5,0,,,0.0,,,,,,JONAS BRODIN,JOEL ERIKSSON EK,KIRILL KAPRIZOV,MATT BOLDY,BROCK FABER,,FILIP GUSTAVSSON,,,,,,,,8476463,8478493,8478864,8481557,8482122,,8479406,,,,,,,,JOHN HYNES,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,2,1,,0,,5v5,5v5,,499.0,change,VGK CHANGE: line-change,,VGK,home,6.0,"BRAYDEN MCNABB, REILLY SMITH, WILLIAM KARLSSON, SHEA THEODORE, VICTOR OLOFSSON, ADIN HILL","8475188, 8475191, 8476448, 8477447, 8478109, 8478499",,,,line-change,,,,,,,,,,,,,,,,,,,,5,5,,,0.0,0.0,,,,,JONAS BRODIN,JOEL ERIKSSON EK,KIRILL KAPRIZOV,MATT BOLDY,BROCK FABER,,FILIP GUSTAVSSON,BRAYDEN MCNABB,REILLY SMITH,WILLIAM KARLSSON,SHEA THEODORE,VICTOR OLOFSSON,,ADIN HILL,8476463,8478493,8478864,8481557,8482122,,8479406,8475188,8475191,8476448,8477447,8478109,,8478499,BRUCE CASSIDY,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,3,1,REG,0,,5v5,5v5,,,period-start,Period Start- Local time: 7:10 PDT,,,away,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,0.0,0.0,,,,,JOEL ERIKSSON EK,MATT BOLDY,KIRILL KAPRIZOV,BROCK FABER,JONAS BRODIN,,FILIP GUSTAVSSON,WILLIAM KARLSSON,REILLY SMITH,VICTOR OLOFSSON,BRAYDEN MCNABB,SHEA THEODORE,,ADIN HILL,8478493.0,8481557.0,8478864.0,8482122.0,8476463.0,,8479406.0,8476448.0,8475191.0,8478109.0,8475188.0,8477447.0,,8478499.0,,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,4,1,REG,0,1551,5v5,5v5,right,502.0,faceoff,MIN won Neu. Zone - MIN #14 ERIKSSON EK vs VGK #71 KARLSSON,,MIN,away,,,,,,,,JOEL ERIKSSON EK,WILLIAM KARLSSON,,8478493.0,8476448.0,,C,C,,,,N,0.0,0.0,0.0,0.0,-0.0,-0.0,5,5,5,89.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,JOEL ERIKSSON EK,MATT BOLDY,KIRILL KAPRIZOV,BROCK FABER,JONAS BRODIN,,FILIP GUSTAVSSON,WILLIAM KARLSSON,REILLY SMITH,VICTOR OLOFSSON,BRAYDEN MCNABB,SHEA THEODORE,,ADIN HILL,8478493.0,8481557.0,8478864.0,8482122.0,8476463.0,,8479406.0,8476448.0,8475191.0,8478109.0,8475188.0,8477447.0,,8478499.0,JOHN HYNES,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,5,1,REG,21,1551,5v5,5v5,right,503.0,hit,"MIN #12 BOLDY HIT VGK #95 OLOFSSON, Neu. Zone",,MIN,away,,,,,,,,MATT BOLDY,VICTOR OLOFSSON,,8481557.0,8478109.0,,L,L,,,,N,15.0,-39.0,15.0,-39.0,-15.0,39.0,5,5,5,83.64807230295268,27.7904424794521,7.0,21.0,0.0,0.0,0.0,0.0,JOEL ERIKSSON EK,MATT BOLDY,KIRILL KAPRIZOV,BROCK FABER,JONAS BRODIN,,FILIP GUSTAVSSON,WILLIAM KARLSSON,REILLY SMITH,VICTOR OLOFSSON,BRAYDEN MCNABB,SHEA THEODORE,,ADIN HILL,8478493.0,8481557.0,8478864.0,8482122.0,8476463.0,,8479406.0,8476448.0,8475191.0,8478109.0,8475188.0,8477447.0,,8478499.0,JOHN HYNES,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,6,1,REG,28,,5v5,5v5,right,499.0,change,MIN CHANGE: on-the-fly,,MIN,away,1.0,FREDERICK GAUDREAU,8477919,1.0,JOEL ERIKSSON EK,8478493,on-the-fly,,,,,,,,,,,,,,,,,,,,5,5,,,0.0,7.0,0.0,0.0,0.0,0.0,JONAS BRODIN,FREDERICK GAUDREAU,KIRILL KAPRIZOV,MATT BOLDY,BROCK FABER,,FILIP GUSTAVSSON,BRAYDEN MCNABB,REILLY SMITH,WILLIAM KARLSSON,SHEA THEODORE,VICTOR OLOFSSON,,ADIN HILL,8476463,8477919,8478864,8481557,8482122,,8479406,8475188,8475191,8476448,8477447,8478109,,8478499,JOHN HYNES,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,7,1,REG,28,,5v5,5v5,right,499.0,change,VGK CHANGE: on-the-fly,,VGK,home,3.0,"MARK STONE, NOAH HANIFIN, JACK EICHEL","8475913, 8478396, 8478403",3.0,"REILLY SMITH, WILLIAM KARLSSON, SHEA THEODORE","8475191, 8476448, 8477447",on-the-fly,,,,,,,,,,,,,,,,,,,,5,5,,,3.0,0.0,0.0,0.0,0.0,0.0,JONAS BRODIN,FREDERICK GAUDREAU,KIRILL KAPRIZOV,MATT BOLDY,BROCK FABER,,FILIP GUSTAVSSON,BRAYDEN MCNABB,MARK STONE,VICTOR OLOFSSON,NOAH HANIFIN,JACK EICHEL,,ADIN HILL,8476463,8477919,8478864,8481557,8482122,,8479406,8475188,8475913,8478109,8478396,8478403,,8478499,BRUCE CASSIDY,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,8,1,REG,31,,5v5,5v5,right,499.0,change,MIN CHANGE: on-the-fly,,MIN,away,1.0,MARCUS JOHANSSON,8475149,1.0,JONAS BRODIN,8476463,on-the-fly,,,,,,,,,,,,,,,,,,,,5,5,,,0.0,3.0,0.0,0.0,0.0,0.0,MARCUS JOHANSSON,FREDERICK GAUDREAU,KIRILL KAPRIZOV,MATT BOLDY,BROCK FABER,,FILIP GUSTAVSSON,BRAYDEN MCNABB,MARK STONE,VICTOR OLOFSSON,NOAH HANIFIN,JACK EICHEL,,ADIN HILL,8475149,8477919,8478864,8481557,8482122,,8479406,8475188,8475913,8478109,8478396,8478403,,8478499,JOHN HYNES,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,9,1,REG,31,,5v5,5v5,right,499.0,change,VGK CHANGE: on-the-fly,,VGK,home,1.0,IVAN BARBASHEV,8477964,1.0,VICTOR OLOFSSON,8478109,on-the-fly,,,,,,,,,,,,,,,,,,,,5,5,,,1.0,0.0,0.0,0.0,0.0,0.0,MARCUS JOHANSSON,FREDERICK GAUDREAU,KIRILL KAPRIZOV,MATT BOLDY,BROCK FABER,,FILIP GUSTAVSSON,BRAYDEN MCNABB,MARK STONE,IVAN BARBASHEV,NOAH HANIFIN,JACK EICHEL,,ADIN HILL,8475149,8477919,8478864,8481557,8482122,,8479406,8475188,8475913,8477964,8478396,8478403,,8478499,BRUCE CASSIDY,JOHN HYNES,BRUCE CASSIDY,
20242025,3,2024030171,2025-04-20,T-Mobile Arena,Paradise,MIN,VGK,10,1,REG,32,1551,5v5,5v5,right,503.0,hit,"VGK #3 MCNABB HIT MIN #12 BOLDY, Neu. Zone",,VGK,home,,,,,,,,BRAYDEN MCNABB,MATT BOLDY,,8475188.0,8481557.0,,D,L,,,,N,20.0,-39.0,20.0,-39.0,20.0,-39.0,5,5,5,79.25906888173743,29.475889003245747,0.0,1.0,0.0,0.0,0.0,0.0,FREDERICK GAUDREAU,MATT BOLDY,MARCUS JOHANSSON,BROCK FABER,JARED SPURGEON,,FILIP GUSTAVSSON,JACK EICHEL,IVAN BARBASHEV,MARK STONE,BRAYDEN MCNABB,NOAH HANIFIN,,ADIN HILL,8477919.0,8481557.0,8475149.0,8482122.0,8474716.0,,8479406.0,8478403.0,8477964.0,8475913.0,8475188.0,8478396.0,,8478499.0,BRUCE CASSIDY,JOHN HYNES,BRUCE CASSIDY,
